Gene1,Gene2,Correlation
6280,6279,0.9816831469829915
6280,60,0.8668077262361028
6280,6283,0.8657001190351707
6280,6282,0.9213864826697079
6280,9535,0.8873945046962134
6280,6888,0.8502122561169781
6280,5265,0.8781070880147955
6280,249,0.9009358445132967
6280,7791,0.9217674906801014
6280,6688,0.8530214903668748
6280,3055,0.8539166190009466
6280,353514,0.9368194631527184
6280,2783,0.8574251459699762
6280,5836,0.8590765232614384
6280,5226,0.9096654796083349
6280,1192,0.8557183967166152
6280,6556,0.8712782760756701
6280,2319,0.8896669089011863
6280,11025,0.8822550876337979
6280,92799,0.912775816581357
6280,391,0.9426536628817568
6280,6813,0.9288585232947653
6280,4778,0.9137658654528463
6280,10211,0.9105303966727809
6280,84418,0.92812810766356
6280,79168,0.8715467356422876
6280,1992,0.8620595690809029
6280,116844,0.9157912951587027
6280,57085,0.8565806886478002
6280,729737,0.8783251369110636
6280,3614,0.8908925188983775
6280,29108,0.858791967054277
6280,9114,0.8573816258349181
6280,9123,0.9358175586805725
6280,8993,0.912014708854814
6280,5580,0.853340469519437
6280,100506115,0.9406533481579628
6280,8992,0.8768592794073615
6280,126014,0.8568085472432013
6280,5691,0.8640062442773477
6280,64218,0.9036260383913198
6279,6283,0.9335412621394515
6279,249,0.9214649466043805
6279,7791,0.862146583588099
6279,353514,0.9660477962082986
6279,5226,0.9177477860033296
6279,199675,0.884367610679186
6279,2319,0.8672724921183914
6279,92799,0.8505399348996662
6279,391,0.8879753424903138
6279,6813,0.9368117299146403
6279,4778,0.8754363637978093
6279,2907,0.8789532332046883
6279,10211,0.8720226031340191
6279,84418,0.9476523632166234
6279,1992,0.8749791266895014
6279,116844,0.9067343782752728
6279,9123,0.8936062676493243
6279,8993,0.870950124946726
6279,100506115,0.9247403005735019
6279,126014,0.8666305704097617
6279,64218,0.8585529579063946
60,6277,0.8802125347744237
60,2207,0.8847708378008453
60,3689,0.8544200091151702
60,23406,0.8713373004229046
60,5265,0.8760514867075303
60,7791,0.9117516530732367
60,199,0.8932693497419905
60,2268,0.8785562607172471
60,7086,0.8676243009043596
60,5226,0.9248692711734945
60,1192,0.8728813206560072
60,6556,0.8615339530430123
60,10095,0.9273380072316474
60,391,0.8678774020324989
60,387,0.8588385978991762
60,3101,0.856428015837499
60,6813,0.8833318882565956
60,10288,0.8776844857944376
60,2907,0.8741227133194762
60,5538,0.9008761525071681
60,79168,0.8710007168797654
60,1992,0.8605903223684577
60,57085,0.9213449426040665
60,967,0.8810235631066506
60,3614,0.8655076562624696
60,29108,0.9054385259586177
60,112694756,0.9392222063204194
60,9114,0.9185415034238291
60,9123,0.859890379576204
60,10956,0.8959530978537502
60,5580,0.8755856068193351
60,100506115,0.8919836830946629
60,2280,0.9083745316978851
60,83706,0.9282729272946306
60,255809,0.8994388991324703
60,8992,0.8878394946349313
60,152007,0.8958144166485567
60,126014,0.9021512807982074
60,5691,0.8552470852270851
60,2787,0.9005343647686522
60,84106,0.8770749900640725
60,64218,0.8872157222601631
6283,4318,0.8862593505602016
6283,706,0.8921279628846165
6283,353514,0.9491664546978871
6283,5226,0.883645848327799
6283,199675,0.9761835905428873
6283,6813,0.9201979330492693
6283,2907,0.9032040678935648
6283,84418,0.852731708358451
6283,126014,0.8721029410041322
6283,109729184,0.897112458180046
6282,10581,0.9098893703970623
6282,1441,0.9456347662993043
6282,7305,0.9073880120997685
6282,6277,0.8521424761933446
6282,2357,0.9527484880044779
6282,10135,0.8508033198649078
6282,5552,0.8713182840759803
6282,102465993,0.8688181921124754
6282,3936,0.8626904534587941
6282,440926,0.9099075321624769
6282,9535,0.938699131759313
6282,4688,0.9211413980096217
6282,6888,0.9741408169283056
6282,5265,0.9627748159111484
6282,366,0.8869353679634601
6282,10409,0.8887142547168849
6282,3577,0.8809117687867853
6282,7940,0.9579359042045498
6282,2124,0.8551652645838103
6282,728,0.8846087701026738
6282,7791,0.9549005344516506
6282,397,0.9176511008544893
6282,3020,0.9010861453423952
6282,3385,0.8699202212817465
6282,4542,0.8778451681909221
6282,8875,0.8636786561305436
6282,6688,0.9587744041149766
6282,3687,0.9034450926222666
6282,409,0.950655012873188
6282,11151,0.8831307005215637
6282,91300,0.8529205619127666
6282,120425,0.952413075811955
6282,597,0.8694324799306458
6282,7408,0.9453008279474983
6282,3055,0.960273661853262
6282,51734,0.9579632171641717
6282,64386,0.9091261198561574
6282,3059,0.9406319220688364
6282,976,0.8584521809547555
6282,64115,0.9486723370620007
6282,11337,0.8828144171198082
6282,2212,0.9224024058638843
6282,10094,0.8843844622770066
6282,4046,0.8988971289018729
6282,1265,0.8968321818695306
6282,1051,0.8612726730662496
6282,63940,0.9191074484718349
6282,407008,0.9401115648059896
6282,4689,0.955292230454658
6282,2771,0.8749688129460931
6282,2783,0.9579569589835659
6282,2217,0.8693170010894802
6282,6404,0.9026281115845395
6282,5836,0.8842385551214736
6282,1052,0.862676856478764
6282,290,0.9293563474076196
6282,1192,0.9402763486522326
6282,6556,0.8975717560619995
6282,2319,0.8990571812524818
6282,80325,0.8848672376596428
6282,51312,0.8732524296367662
6282,11025,0.9478658164694578
6282,241,0.8835117783174454
6282,92799,0.9542815605498685
6282,79143,0.9191931751912003
6282,391,0.9717303078049659
6282,29992,0.8906501706255169
6282,27128,0.9009095492541803
6282,240,0.8936962753518688
6282,6386,0.9019656744118107
6282,54458,0.953420025870446
6282,5777,0.8650199945604908
6282,978,0.9405738805804582
6282,4778,0.9392553128420291
6282,7454,0.9437791104607132
6282,963,0.9072301365067877
6282,23401,0.9081121158903557
6282,10487,0.8884248847507944
6282,9473,0.8545460437759841
6282,3303,0.8635050957566971
6282,2358,0.863844245763943
6282,10211,0.9368900653595055
6282,6398,0.8973672313400698
6282,170954,0.8742969033052908
6282,126364,0.9397792423782484
6282,7132,0.9370703720172469
6282,55505,0.962858741619777
6282,146225,0.8914419392912367
6282,81671,0.8555506643038624
6282,7879,0.914526363016848
6282,533,0.8890047844902772
6282,54518,0.9098659961671667
6282,5538,0.857040270349012
6282,116985,0.9186626738232547
6282,55911,0.9029677834265883
6282,8291,0.8791520040178503
6282,79930,0.942603090705204
6282,87,0.8579223190351287
6282,51291,0.8525896649352069
6282,8698,0.8660141900212346
6282,3310,0.8826849871440089
6282,9770,0.8917022943905831
6282,1912,0.9343343187600796
6282,1032,0.8553390100058867
6282,115727,0.9478398045573027
6282,79168,0.8948994109971409
6282,53829,0.8761008237428269
6282,4947,0.8675627719278786
6282,5724,0.9145788905646793
6282,133,0.8693050809656684
6282,116844,0.8949369142461965
6282,84649,0.9174850736296785
6282,11240,0.854077179232378
6282,8301,0.8698896856313046
6282,4067,0.8573228884330216
6282,51170,0.8766369567161536
6282,2885,0.8785502068003488
6282,9260,0.9339793205000668
6282,23558,0.8579134172995687
6282,729737,0.9432185073562541
6282,126308,0.8649200310040867
6282,140885,0.9115323300336695
6282,9961,0.865415980426488
6282,100500853,0.8786777694801082
6282,112268246,0.9383458209152565
6282,10261,0.9039844568068314
6282,8650,0.8832597606489965
6282,25797,0.8625246872618213
6282,5899,0.8942852536151834
6282,3614,0.9714880300207882
6282,150372,0.9520084533818906
6282,29108,0.9133766302928435
6282,55313,0.8526096587837073
6282,10312,0.8774245075757628
6282,2790,0.8726887381138131
6282,284996,0.8681451476238176
6282,9114,0.9310124691846805
6282,5175,0.8514068631768644
6282,9123,0.9546548579482781
6282,9170,0.9044809593270378
6282,89849,0.8750058027296995
6282,54918,0.8669016988517134
6282,10956,0.8644056508925678
6282,8993,0.9182355873468337
6282,5580,0.9370388735251551
6282,100506115,0.9151669569807862
6282,829,0.8594013721893765
6282,7295,0.9490253156483985
6282,8992,0.9276679960808892
6282,22904,0.8808522639742465
6282,9103,0.9157321845616953
6282,152007,0.8995457108734269
6282,1084,0.8518199829770239
6282,5691,0.9162973560864424
6282,552891,0.8727064858645511
6282,6195,0.890785312253635
6282,8125,0.9009880919932189
6282,2787,0.887776701159859
6282,26234,0.8801999322387417
6282,23569,0.9027078218079011
6282,25801,0.8886538601743728
6282,144423,0.9001304362159278
6282,80301,0.9353133517914803
6282,64218,0.926869453582926
9535,10581,0.9196349610098963
9535,1441,0.9308895483225126
9535,2357,0.9554645479607327
9535,440926,0.8892938081120298
9535,4688,0.8652285011722303
9535,6888,0.9445221641863486
9535,5265,0.8744966583102198
9535,366,0.8672349261884214
9535,10409,0.8582380185944856
9535,3577,0.8898444095925881
9535,6286,0.8650014134245357
9535,7940,0.9117434311201753
9535,7791,0.8872355900590182
9535,397,0.9249177394819343
9535,3020,0.8792824442378991
9535,3385,0.8912424729414654
9535,6688,0.8749768384573468
9535,3687,0.8546606304918564
9535,409,0.9120981909142233
9535,11151,0.8949375879842965
9535,91300,0.8830893154390006
9535,120425,0.9127527297102197
9535,7408,0.9097379693849117
9535,3055,0.8984042130838343
9535,51734,0.9504955541980588
9535,64386,0.9003181133453919
9535,3059,0.9326961735448268
9535,976,0.8500974577864016
9535,64115,0.8798868275825195
9535,2212,0.8810574073289025
9535,1265,0.904247068846211
9535,63940,0.9225216446662153
9535,407008,0.9205628460370037
9535,4689,0.9372996810762372
9535,2783,0.9380035771195084
9535,6404,0.9072053238590421
9535,1192,0.8737566122157271
9535,2319,0.885985166255623
9535,80325,0.9059607365442864
9535,51312,0.8776346091044996
9535,11025,0.8803260197367216
9535,241,0.9101143667485119
9535,92799,0.8875700265657098
9535,79143,0.9215849380712544
9535,391,0.9426069811148282
9535,27128,0.8950417166367893
9535,23214,0.8588389808044644
9535,6386,0.8549205233160145
9535,54458,0.9292170809310495
9535,978,0.8899761126132162
9535,4778,0.923722817625974
9535,7454,0.9144192971526952
9535,963,0.8689264607317491
9535,23401,0.9009381216875767
9535,2358,0.8704348979416594
9535,10211,0.9404782618860313
9535,6398,0.8545569210730517
9535,126364,0.9086735748811083
9535,7132,0.9303093833915312
9535,55505,0.9020183178735547
9535,146225,0.9163855282215293
9535,81671,0.8551206931679379
9535,84418,0.8572610248697968
9535,54518,0.8722860427796305
9535,116985,0.869030286675187
9535,55911,0.8593799142182444
9535,79930,0.86176878426175
9535,8698,0.9271903017398896
9535,3310,0.8619936223144498
